id,propositions,nl_sentence,dataset_tl
2061,"['moving', 'go_to_orange_bin']",always moving until go to orange bin,G(moving)Ugo_to_orange_bin
1065,"['present_at_flag', 'bring_pear']",at some time present at flag or when possible bring pear,F(present_at_flag)|F(bring_pear)
1341,"['hold_pear', 'hold_onto_orange']",hold pear or forever hold onto orange,hold_pear|G(hold_onto_orange)
5407,"['hold_onto_orange', 'put_in_apple_bucket']",always hold onto orange or put in apple bucket,G(hold_onto_orange)|put_in_apple_bucket
2400,"['venture_house', 'procure_pear']",at some time venture house or at some time procure pear,F(venture_house)|F(procure_pear)
2407,"['venture_to_trash_can', 'go_to_trash_can']","when venture to trash can , when possible go to trash can",venture_to_trash_can->F(go_to_trash_can)
5261,"['procure_apple', 'get_hold_apple']",procure apple can infer that at any time get hold apple,procure_apple->F(get_hold_apple)
3258,"['put_in_bin', 'drop_apple']",put in bin or never drop apple,put_in_bin|G(~(drop_apple))
4140,"['move_past_trash_can', 'take_orange']",when possible move past trash can or take orange,F(move_past_trash_can)|take_orange
3561,"['travel_to_trash_can', 'venture_to_trash_can']",when possible travel to trash can and venture to trash can,F(travel_to_trash_can)&venture_to_trash_can
3650,"['touch_house', 'collect_pear']",at some time touch house or collect pear,F(touch_house)|collect_pear
4661,"['get_orange', 'make_your_way_flag']",whenever get orange or when possible make your way flag,F(get_orange)|F(make_your_way_flag)
1011,"['secure_apple', 'bring_pear']",secure apple until at some time bring pear,secure_appleUF(bring_pear)
1713,"['snatch_up_pear', 'venture_flag']",snatch up pear or whenever venture flag,snatch_up_pear|F(venture_flag)
5814,"['acquire_apple', 'journey_by_house']",acquire apple or at any time journey by house,acquire_apple|F(journey_by_house)
5466,"['drop_orange', 'approach_flag']",never drop orange and at some time approach flag,G(~(drop_orange))&F(approach_flag)
2615,"['touch_tree', 'set_out_to_house']",whenever touch tree and whenever set out to house,F(touch_tree)&F(set_out_to_house)
2249,"['move_near_tree', 'spend_time_at_tree']",at any time move near tree or whenever spend time at tree,F(move_near_tree)|F(spend_time_at_tree)
4224,"['haul_pear', 'make_contact_with_house']",whenever haul pear or at some time make contact with house,F(haul_pear)|F(make_contact_with_house)
5944,"['go_to_trash_bin', 'hold_pear']",at any time go to trash bin or hold pear,F(go_to_trash_bin)|hold_pear
3806,"['touch_house', 'get_hold_orange']",at some time touch house can infer that when possible get hold orange,F(touch_house)->F(get_hold_orange)
3163,"['journey_to_tree', 'tax_apple']",when possible journey to tree and whenever tax apple,F(journey_to_tree)&F(tax_apple)
1671,"['have_possession_of_apple', 'hold_pear']",at any time have possession of apple and hold pear,F(have_possession_of_apple)&hold_pear
1924,"['withhold_apple', 'reach_flag']",whenever withhold apple until when possible reach flag,F(withhold_apple)UF(reach_flag)
1674,"['drop_orange', 'get_close_flag']",never drop orange and at some time get close flag,G(~(drop_orange))&F(get_close_flag)
1405,"['venture_to_waste_basket', 'drop_apple']",at any time venture to waste basket and never drop apple,F(venture_to_waste_basket)&G(~(drop_apple))
1764,"['reach_trash_can', 'travel_by_tree']",reach trash can and when possible travel by tree,reach_trash_can&F(travel_by_tree)
1325,"['let_go_apple', 'make_your_way_flag']",at some time let go apple or whenever make your way flag,F(let_go_apple)|F(make_your_way_flag)
1544,"['go_near_pear', 'be_at_flag']",whenever go near pear or when possible be at flag,F(go_near_pear)|F(be_at_flag)
3869,"['hold_pear', 'scoop_up_apple']",hold pear or when possible scoop up apple,hold_pear|F(scoop_up_apple)
2540,"['be_at_flag', 'go_to_peach']",whenever be at flag or whenever go to peach,F(be_at_flag)|F(go_to_peach)
1481,"['get_to_cup', 'approach_house']",whenever get to cup and when possible approach house,F(get_to_cup)&F(approach_house)
5965,"['get_to_cup', 'grasp_pear']",at any time get to cup or at any time grasp pear,F(get_to_cup)|F(grasp_pear)
1869,"['reach_flag', 'venture_towards_house']",at some time reach flag or venture towards house,F(reach_flag)|venture_towards_house
3539,"['go_to_orange', 'venture_to_waste_basket']",go to orange or when possible venture to waste basket,go_to_orange|F(venture_to_waste_basket)
1781,"['visit_house', 'pick_up_apple']",at some time visit house and at some time pick up apple,F(visit_house)&F(pick_up_apple)
1985,"['get_to_flag', 'lay_hold_of_apple']",at some time get to flag and when possible lay hold of apple,F(get_to_flag)&F(lay_hold_of_apple)
5690,"['move_to_tree', 'gather_orange']",move to tree and gather orange,move_to_tree&gather_orange
2194,"['proceed_to_flag', 'go_to_pear']",at any time proceed to flag or repeatedly go to pear,F(proceed_to_flag)|G(F(go_to_pear))
4442,"['obtain_pear', 'get_pear']",when possible obtain pear and whenever get pear,F(obtain_pear)&F(get_pear)
5033,"['pass_by_trash_bin', 'travel_to_house']",at some time pass by trash bin or at some time travel to house,F(pass_by_trash_bin)|F(travel_to_house)
1470,"['grab_hold_pear', 'take_to_trashcan']",grab hold pear or take to trashcan,grab_hold_pear|take_to_trashcan
3795,"['tax_apple', 'go_visit_house']",at some time tax apple or when possible go visit house,F(tax_apple)|F(go_visit_house)
4181,"['move_to_tree', 'approach_flag']",move to tree or at any time approach flag,move_to_tree|F(approach_flag)
2079,"['drop_pear', 'get_near_flag']",drop pear or at any time get near flag,drop_pear|F(get_near_flag)
1646,"['keep_apple', 'go_near_house']",keep apple and whenever go near house,keep_apple&F(go_near_house)
5710,"['move_past_trash_can', 'grab_apple']",at any time move past trash can and whenever grab apple,F(move_past_trash_can)&F(grab_apple)
1184,"['venture_to_house', 'secure_apple']",when possible venture to house can infer that secure apple,F(venture_to_house)->secure_apple
4273,"['hold_apple', 'walk_to_flag']",hold apple and when possible walk to flag,hold_apple&F(walk_to_flag)
1471,"['spend_time_at_tree', 'move_near_tree']",whenever spend time at tree and at some time move near tree,F(spend_time_at_tree)&F(move_near_tree)
1435,"['venture_to_house', 'reach_flag']",when possible venture to house or at any time reach flag,F(venture_to_house)|F(reach_flag)
4399,"['drop_by', 'let_go_orange']",drop by and never let go orange,drop_by&G(~(let_go_orange))
1279,"['let_go_pear', 'let_go_pear']",don't let go pear or don't let go pear,~(let_go_pear)|~(let_go_pear)
1771,"['keep_apple', 'go_near_house']",keep apple or whenever go near house,keep_apple|F(go_near_house)
2922,"['pick_up_fruit', 'withold_apple']",pick up fruit or when possible withold apple,pick_up_fruit|F(withold_apple)
4730,"['grab_orange', 'go_to_house']","when when possible grab orange , when possible go to house",F(grab_orange)->F(go_to_house)
5767,"['have_possession_of_apple', 'go_to_peach']",when possible have possession of apple or at some time go to peach,F(have_possession_of_apple)|F(go_to_peach)
1477,"['go_to_orange_bin', 'clutch_orange']",go to orange bin and whenever clutch orange,go_to_orange_bin&F(clutch_orange)
1282,"['drop_apple', 'venture_to_house']",never drop apple or whenever venture to house,G(~(drop_apple))|F(venture_to_house)
3808,"['seize_pear', 'make_contact_with_house']",at any time seize pear or whenever make contact with house,F(seize_pear)|F(make_contact_with_house)
2355,"['go_near_house', 'start_going_to_house']",at any time go near house or whenever start going to house,F(go_near_house)|F(start_going_to_house)
1716,"['go_by_waste_bin', 'venture_towards_house']",go by waste bin means that venture towards house,go_by_waste_bin->venture_towards_house
3631,"['let_go_apple', 'move_to_flag']","when whenever let go apple , at any time move to flag",F(let_go_apple)->F(move_to_flag)
1577,"['snatch_up_pear', 'have_in_orange']",snatch up pear or always have in orange,snatch_up_pear|G(have_in_orange)
1866,"['visit_tree', 'go_by_house']",visit tree or whenever go by house,visit_tree|F(go_by_house)
1619,"['walk', 'pick_up_orange']","when walk , pick up orange",walk->pick_up_orange
4519,"['arrive_at_tree', 'travel_to_trash_can']",at any time arrive at tree and whenever travel to trash can,F(arrive_at_tree)&F(travel_to_trash_can)
1160,"['get_to_flag', 'move_near_tree']",whenever get to flag and whenever move near tree,F(get_to_flag)&F(move_near_tree)
3020,"['journey_by_house', 'travel_by_tree']",when possible journey by house can infer that when possible travel by tree,F(journey_by_house)->F(travel_by_tree)
4011,"['proceed_to_house', 'venture_to_waste_basket']","when whenever proceed to house , at any time venture to waste basket",F(proceed_to_house)->F(venture_to_waste_basket)
5902,"['go_visit_house', 'scoop_up_pear']","if at some time go visit house , at any time scoop up pear",F(go_visit_house)->F(scoop_up_pear)
1678,"['go_to_orange_bin', 'come_to_tree']",go to orange bin or come to tree,go_to_orange_bin|come_to_tree
2671,"['pass_by_waste_receptacle', 'drop_apple']",whenever pass by waste receptacle or never drop apple,F(pass_by_waste_receptacle)|G(~(drop_apple))
1037,"['start_going_to_house', 'lay_hold_of_apple']",at some time start going to house or whenever lay hold of apple,F(start_going_to_house)|F(lay_hold_of_apple)
1901,"['be_in_houses_vicinity', 'make_to_flag']",whenever be in house's vicinity or at some time make to flag,F(be_in_houses_vicinity)|F(make_to_flag)
1640,"['go_to_trash_bin', 'walk_to_flag']",when possible go to trash bin or at some time walk to flag,F(go_to_trash_bin)|F(walk_to_flag)
4391,"['visit_house', 'gather_apple']",at some time visit house or gather apple,F(visit_house)|gather_apple
5196,"['seize_orange', 'go_to_tree']",at any time seize orange means that when possible go to tree,F(seize_orange)->F(go_to_tree)
2573,"['make_contact_with_house', 'travel_to_flag']",whenever make contact with house and at some time travel to flag,F(make_contact_with_house)&F(travel_to_flag)
4242,"['advance_to_house', 'take_possession_of_bear']",when possible advance to house or at any time take possession of bear,F(advance_to_house)|F(take_possession_of_bear)
1374,"['start_going_to_house', 'go_to_trashcan']",at some time start going to house or when possible go to trashcan,F(start_going_to_house)|F(go_to_trashcan)
2076,"['stay', 'go_to_trashcan']",always stay or at some time go to trashcan,G(stay)|F(go_to_trashcan)
1051,"['secure_apple', 'venture_to_house']",secure apple and whenever venture to house,secure_apple&F(venture_to_house)
2571,"['shift_to_flag', 'travel_to_waste_bin']",at some time shift to flag and travel to waste bin,F(shift_to_flag)&travel_to_waste_bin
5221,"['pick_up_fruit', 'touch_flag']",pick up fruit or forever touch flag,pick_up_fruit|G(touch_flag)
5687,"['gather_apple', 'pick_up_fruit']",gather apple or pick up fruit,gather_apple|pick_up_fruit
4622,"['gather_pear', 'go_to_flag']",whenever gather pear or whenever go to flag,F(gather_pear)|F(go_to_flag)
1073,"['secure_apple', 'venture_towards_house']",secure apple or venture towards house,secure_apple|venture_towards_house
3751,"['collect_pear', 'grab_pear']",collect pear and at some time grab pear,collect_pear&F(grab_pear)
1348,"['lay_hold_of_apple', 'hold_on_pear']",when possible lay hold of apple or forever hold on pear,F(lay_hold_of_apple)|G(hold_on_pear)
2037,"['pass_by_house', 'capture_pear']",when possible pass by house means that whenever capture pear,F(pass_by_house)->F(capture_pear)
1056,"['hold_orange', 'hold_apple']",hold orange or hold apple,hold_orange|hold_apple
5054,"['walk_to_flag', 'drop_orange']",at some time walk to flag or drop orange,F(walk_to_flag)|drop_orange
2310,"['make_to_flag', 'snatch_up_pear']","when at some time make to flag , snatch up pear",F(make_to_flag)->snatch_up_pear
2424,"['visit_tree', 'seize_apple']",visit tree until seize apple,visit_treeUseize_apple
3242,"['have_possession_of_apple', 'getting_pear']",when possible have possession of apple or at any time getting pear,F(have_possession_of_apple)|F(getting_pear)
1999,"['go_to_trashcan', 'move_to_trashcan']",whenever go to trashcan until move to trashcan,F(go_to_trashcan)Umove_to_trashcan
1736,"['travel_to_waste_bin', 'procure_pear']",travel to waste bin or whenever procure pear,travel_to_waste_bin|F(procure_pear)
1645,"['drop_pear', 'go_to_house']",never drop pear or at some time go to house,G(~(drop_pear))|F(go_to_house)
3556,"['go_to', 'pear_bin', 'take_apple']",whenever go to pear bin or take apple,F(go_topear_bin)|take_apple
5582,"['grasp_orange', 'stand_by_tree']",grasp orange or at some time stand by tree,grasp_orange|F(stand_by_tree)
1420,"['be_near_tree', 'stop_by_trash_can']",whenever be near tree or at any time stop by trash can,F(be_near_tree)|F(stop_by_trash_can)
3239,"['stop_by_trash_can', 'go_to_home']",at some time stop by trash can and at any time go to home,F(stop_by_trash_can)&F(go_to_home)
5453,"['gather_pear', 'drop_orange']",at some time gather pear or never drop orange,F(gather_pear)|G(~(drop_orange))
1786,"['clutch_orange', 'keep_apple']",whenever clutch orange means that keep apple,F(clutch_orange)->keep_apple
2280,"['procure_pear', 'take_pear']",at some time procure pear and take pear,F(procure_pear)&take_pear
1931,"['get_near_flag', 'make_to_flag']",at some time get near flag and when possible make to flag,F(get_near_flag)&F(make_to_flag)
1602,"['show_yourself_near_house', 'acquire_orange']",when possible show yourself near house or acquire orange,F(show_yourself_near_house)|acquire_orange
1274,"['withhold_apple', 'venture_towards_house']",at some time withhold apple until venture towards house,F(withhold_apple)Uventure_towards_house
4760,"['make_way_to_house', 'drop_orange']",repeatedly make way to house and never drop orange,G(F(make_way_to_house))&G(~(drop_orange))
2519,"['contact_house', 'visit_house']",when possible contact house can infer that at any time visit house,F(contact_house)->F(visit_house)
5566,"['make_contact_flag', 'venture_house']",at some time make contact flag or when possible venture house,F(make_contact_flag)|F(venture_house)
5859,"['get_orange', 'visit_flag']",at any time get orange or whenever visit flag,F(get_orange)|F(visit_flag)
4107,"['seize_orange', 'take_pear']",at some time seize orange and take pear,F(seize_orange)&take_pear
4758,"['venture_house', 'drop_pear']",at any time venture house and never drop pear,F(venture_house)&G(~(drop_pear))
5086,"['make_your_way_flag', 'gather_apple']",when possible make your way flag or gather apple,F(make_your_way_flag)|gather_apple
1823,"['present_at_flag', 'withhold_apple']",when possible present at flag and at some time withhold apple,F(present_at_flag)&F(withhold_apple)
3782,"['pick_up_orange', 'put_in_apple_bucket']",pick up orange or put in apple bucket,pick_up_orange|put_in_apple_bucket
3168,"['hold_pear', 'make_your_way_flag']",hold pear and at some time make your way flag,hold_pear&F(make_your_way_flag)
2727,"['go_home', 'go_to_flag']",whenever go home and at some time go to flag,F(go_home)&F(go_to_flag)
2399,"['make_way_to_house', 'approach_house']",repeatedly make way to house until whenever approach house,G(F(make_way_to_house))UF(approach_house)
5491,"['go_by_flag', 'have_possession_of_apple']",at some time go by flag and whenever have possession of apple,F(go_by_flag)&F(have_possession_of_apple)
4555,"['contact_flag', 'touch_tree']",at some time contact flag or when possible touch tree,F(contact_flag)|F(touch_tree)
1564,"['approach_flag', 'collect_pear']",at some time approach flag or collect pear,F(approach_flag)|collect_pear
3376,"['visit_house', 'go_past_house']",when possible visit house until whenever go past house,F(visit_house)UF(go_past_house)
4994,"['going_to_flag', 'hold_onto_orange']",when possible going to flag until always hold onto orange,F(going_to_flag)UG(hold_onto_orange)
1296,"['venture_towards_house', 'go_by_waste_basket']","when venture towards house , when possible go by waste basket",venture_towards_house->F(go_by_waste_basket)
5849,"['travel_to_trash_can', 'visit_tree']",at some time travel to trash can and visit tree,F(travel_to_trash_can)&visit_tree
5611,"['stop_by_flag', 'get_close_tree']",stop by flag or at some time get close tree,stop_by_flag|F(get_close_tree)
1667,"['go_by_trash_can', 'walk_near_flag']",always go by trash can and at any time walk near flag,G(go_by_trash_can)&F(walk_near_flag)
1345,"['move_to_tree', 'take_apple']",move to tree or take apple,move_to_tree|take_apple
1575,"['go_by_waste_bin', 'bring_pear']",go by waste bin until when possible bring pear,go_by_waste_binUF(bring_pear)
1614,"['go_by_waste_bin', 'secure_apple']",go by waste bin and secure apple,go_by_waste_bin&secure_apple
5141,"['yield_pear', 'take_to_tree']",when possible yield pear or take to tree,F(yield_pear)|take_to_tree
3363,"['collect_orange', 'travel_to_waste_bin']",when possible collect orange or travel to waste bin,F(collect_orange)|travel_to_waste_bin
5585,"['grasp_pear', 'visit_tree']",at some time grasp pear or visit tree,F(grasp_pear)|visit_tree
1818,"['go_by_waste_bin', 'go_by_waste_basket']",go by waste bin and when possible go by waste basket,go_by_waste_bin&F(go_by_waste_basket)
2173,"['proceed_to_flag', 'go_by_tree']",whenever proceed to flag or at some time go by tree,F(proceed_to_flag)|F(go_by_tree)
2898,"['put_in_apple_bucket', 'be_near_tree']",put in apple bucket and when possible be near tree,put_in_apple_bucket&F(be_near_tree)
1518,"['bring_pear', 'reach_flag']",at any time bring pear or at some time reach flag,F(bring_pear)|F(reach_flag)
1293,"['go_by_waste_basket', 'venture_towards_house']",when possible go by waste basket and venture towards house,F(go_by_waste_basket)&venture_towards_house
3348,"['go_home', 'have_apple']",whenever go home or forever have apple,F(go_home)|G(have_apple)
1704,"['keep_apple', 'have_pear']",keep apple or at any time have pear,keep_apple|F(have_pear)
5931,"['go_to_flag', 'pass_by_trash_bin']",when possible go to flag and when possible pass by trash bin,F(go_to_flag)&F(pass_by_trash_bin)
4572,"['drop_orange', 'go_to_apple']",drop orange and whenever go to apple,drop_orange&F(go_to_apple)
1542,"['drop_apple', 'venture_to_house']",never drop apple or at some time venture to house,G(~(drop_apple))|F(venture_to_house)
3890,"['gather_pear', 'procure_pear']",at some time gather pear or at some time procure pear,F(gather_pear)|F(procure_pear)
3891,"['capture_pear', 'get_orange']",whenever capture pear or at some time get orange,F(capture_pear)|F(get_orange)
3705,"['contact_flag', 'go_to_house']",when possible contact flag and at any time go to house,F(contact_flag)&F(go_to_house)
4427,"['go_by_house', 'grasp_orange']",when possible go by house until grasp orange,F(go_by_house)Ugrasp_orange
1241,"['withdraw_pear', 'grip_apple']",at some time withdraw pear or grip apple,F(withdraw_pear)|grip_apple
2993,"['go_near_pear', 'go_near_pear']",at some time go near pear and whenever go near pear,F(go_near_pear)&F(go_near_pear)
1157,"['drop_apple', 'go_by_waste_bin']",never drop apple until go by waste bin,G(~(drop_apple))Ugo_by_waste_bin
4404,"['set_out_to_house', 'visit_house']",at any time set out to house and at some time visit house,F(set_out_to_house)&F(visit_house)
1899,"['go_visit_flag', 'go_home']",go visit flag and when possible go home,go_visit_flag&F(go_home)
3098,"['be_at_house', 'drop_apple']",when possible be at house and never drop apple,F(be_at_house)&G(~(drop_apple))
5050,"['procure_pear', 'have_possession_of_apple']",whenever procure pear and whenever have possession of apple,F(procure_pear)&F(have_possession_of_apple)
5727,"['collect_apple', 'pick_up_pear']",whenever collect apple or pick up pear,F(collect_apple)|pick_up_pear
1284,"['be_in_houses_vicinity', 'track_towards_tree']",at any time be in house's vicinity or whenever track towards tree,F(be_in_houses_vicinity)|F(track_towards_tree)
1003,"['drop_by', 'go_to_flag']",drop by or whenever go to flag,drop_by|F(go_to_flag)
1207,"['withhold_apple', 'go_by_waste_bin']",at some time withhold apple or go by waste bin,F(withhold_apple)|go_by_waste_bin
1313,"['grab_tree', 'go_to_trashcan']",repeatedly grab tree or when possible go to trashcan,G(F(grab_tree))|F(go_to_trashcan)
1242,"['pick_up_pear', 'have_apple']",pick up pear or forever have apple,pick_up_pear|G(have_apple)
5208,"['let_go_orange', 'put_in_apple_bucket']",never let go orange and put in apple bucket,G(~(let_go_orange))&put_in_apple_bucket
1198,"['bring_pear', 'withhold_apple']",at any time bring pear and at some time withhold apple,F(bring_pear)&F(withhold_apple)
2716,"['pass_by_house', 'move_to_trash_can']",at some time pass by house or move to trash can,F(pass_by_house)|move_to_trash_can
1563,"['proceed_to_flag', 'pick_up_apple']",at any time proceed to flag or at some time pick up apple,F(proceed_to_flag)|F(pick_up_apple)
1169,"['grab_tree', 'move_near_tree']",repeatedly grab tree or when possible move near tree,G(F(grab_tree))|F(move_near_tree)
4420,"['approach_house', 'hold_onto_orange']",when possible approach house and forever hold onto orange,F(approach_house)&G(hold_onto_orange)
2647,"['get_hold_of_pear', 'make_your_way_flag']",get hold of pear or when possible make your way flag,get_hold_of_pear|F(make_your_way_flag)
1272,"['snag_orange', 'got_to_house']",whenever snag orange until when possible got to house,F(snag_orange)UF(got_to_house)
3271,"['pick_up_anything', 'go_visit_flag']",don't pick up anything and go visit flag,~(F(pick_up_anything))&go_visit_flag
4189,"['make_way_for_tree', 'put_in_bucket']",at some time make way for tree until put in bucket,F(make_way_for_tree)Uput_in_bucket
1269,"['scoop_up_pear', 'travel_to_flag']",at any time scoop up pear or whenever travel to flag,F(scoop_up_pear)|F(travel_to_flag)
1507,"['travel_by_tree', 'seize_apple']",at some time travel by tree or seize apple,F(travel_by_tree)|seize_apple
1063,"['go_by_waste_basket', 'drop_apple']",at some time go by waste basket until never drop apple,F(go_by_waste_basket)UG(~(drop_apple))
2845,"['drop_apple', 'walk_near_flag']",never drop apple or whenever walk near flag,G(~(drop_apple))|F(walk_near_flag)
5826,"['obtain_apple', 'go_visit_flag']",at any time obtain apple or go visit flag,F(obtain_apple)|go_visit_flag
1769,"['spend_time_at_tree', 'have_in_orange']",at some time spend time at tree until forever have in orange,F(spend_time_at_tree)UG(have_in_orange)
1154,"['walk_to_flag', 'procure_apple']",at any time walk to flag or procure apple,F(walk_to_flag)|procure_apple
1134,"['go_by_waste_basket', 'reach_flag']",at any time go by waste basket and when possible reach flag,F(go_by_waste_basket)&F(reach_flag)
1955,"['hold_orange', 'stop_by_flag']",hold orange can infer that stop by flag,hold_orange->stop_by_flag
1717,"['go_near_house', 'spend_time_at_tree']",at any time go near house or at some time spend time at tree,F(go_near_house)|F(spend_time_at_tree)
1962,"['bring_pear', 'venture_towards_house']",when possible bring pear until venture towards house,F(bring_pear)Uventure_towards_house
5773,"['journey_by_house', 'get_to_cup']",whenever journey by house or when possible get to cup,F(journey_by_house)|F(get_to_cup)
5074,"['grab_apple', 'put_in_apple_bucket']",when possible grab apple or put in apple bucket,F(grab_apple)|put_in_apple_bucket
2379,"['withdraw_pear', 'migrate_to_tree']",when possible withdraw pear or when possible migrate to tree,F(withdraw_pear)|F(migrate_to_tree)
4179,"['capture_pear', 'take_orange']",at any time capture pear and take orange,F(capture_pear)&take_orange
5432,"['shift_to_flag', 'move_forward_trash_can']","if at some time shift to flag , whenever move forward trash can",F(shift_to_flag)->F(move_forward_trash_can)
2625,"['go_to_apple', 'approach_house']",when possible go to apple and at any time approach house,F(go_to_apple)&F(approach_house)
4342,"['pick_up_apple', 'travel_to_waste_bin']",at some time pick up apple or travel to waste bin,F(pick_up_apple)|travel_to_waste_bin
2847,"['journey_to_flag', 'hold_onto_orange']",at any time journey to flag or forever hold onto orange,F(journey_to_flag)|G(hold_onto_orange)
1993,"['drop_orange', 'move_near_tree']",never drop orange and at some time move near tree,G(~(drop_orange))&F(move_near_tree)
3680,"['travel_to_flag', 'walk_near_flag']",at some time travel to flag and when possible walk near flag,F(travel_to_flag)&F(walk_near_flag)
2413,"['reach_house', 'advance_to_tree']",reach house until advance to tree,reach_houseUadvance_to_tree
1130,"['travel_to_apple', 'let_go_pear']",travel to apple and do not let go pear,travel_to_apple&~(let_go_pear)
5370,"['reach_tree', 'going_to_house']",whenever reach tree or when possible going to house,F(reach_tree)|F(going_to_house)
1136,"['have_possession_of_apple', 'go_to_trash_can']",whenever have possession of apple and when possible go to trash can,F(have_possession_of_apple)&F(go_to_trash_can)
2938,"['go_past_house', 'reach_trash_can']",whenever go past house until reach trash can,F(go_past_house)Ureach_trash_can
1585,"['drop_orange', 'move_to_trashcan']",never drop orange or move to trashcan,G(~(drop_orange))|move_to_trashcan
1951,"['make_to_flag', 'grip_apple']",whenever make to flag or grip apple,F(make_to_flag)|grip_apple
3234,"['grasp_orange', 'make_contact_flag']",grasp orange can infer that at any time make contact flag,grasp_orange->F(make_contact_flag)
1330,"['collect_pear', 'take_possession_of_bear']",collect pear or at some time take possession of bear,collect_pear|F(take_possession_of_bear)
4670,"['venture_to_trash_can', 'go_to_flag']",venture to trash can or at some time go to flag,venture_to_trash_can|F(go_to_flag)
2579,"['put_in_bin', 'hold_pear']",put in bin until hold pear,put_in_binUhold_pear
1353,"['secure_apple', 'venture_towards_house']",secure apple and venture towards house,secure_apple&venture_towards_house
4146,"['pick_up_pear', 'gather_orange']",pick up pear or gather orange,pick_up_pear|gather_orange
2644,"['let_go_apple', 'grasp_orange']",at some time let go apple or grasp orange,F(let_go_apple)|grasp_orange
1702,"['bring_pear', 'go_by_waste_bin']",when possible bring pear or go by waste bin,F(bring_pear)|go_by_waste_bin
1697,"['let_go_pear', 'go_to_trashcan']","if do not let go pear , at any time go to trashcan",~(let_go_pear)->F(go_to_trashcan)
1500,"['drop_apple', 'secure_apple']",never drop apple and secure apple,G(~(drop_apple))&secure_apple
1409,"['stay', 'come_to_tree']",always stay or come to tree,G(stay)|come_to_tree
1286,"['present_at_flag', 'venture_to_house']",at some time present at flag means that whenever venture to house,F(present_at_flag)->F(venture_to_house)
3857,"['pick_up_apple', 'drop_pear']","if at some time pick up apple , never drop pear",F(pick_up_apple)->G(~(drop_pear))
1795,"['approach_trash_can', 'grab_hold_pear']",approach trash can and grab hold pear,approach_trash_can&grab_hold_pear
1911,"['secure_apple', 'bring_pear']",secure apple and at some time bring pear,secure_apple&F(bring_pear)
1006,"['go_by_waste_bin', 'venture_to_house']",go by waste bin or when possible venture to house,go_by_waste_bin|F(venture_to_house)
2884,"['journey_to_tree', 'visit_tree']",whenever journey to tree and visit tree,F(journey_to_tree)&visit_tree
1675,"['visit_tree', 'take_pear']",visit tree or take pear,visit_tree|take_pear
5510,"['acquire_orange', 'go_to_peach']",acquire orange until at any time go to peach,acquire_orangeUF(go_to_peach)
1398,"['capture_pear', 'travel_to_trash_can']",whenever capture pear and at some time travel to trash can,F(capture_pear)&F(travel_to_trash_can)
2068,"['hold_on_pear', 'go_to_apple_trashcan']",forever hold on pear and repeatedly go to apple trashcan,G(hold_on_pear)&G(F(go_to_apple_trashcan))
1561,"['come_home', 'make_contact_with_house']",at any time come home or at any time make contact with house,F(come_home)|F(make_contact_with_house)
5587,"['go_visit_flag', 'capture_orange']",go visit flag means that capture orange,go_visit_flag->capture_orange
2598,"['obtain_apple', 'acquire_pear']",at some time obtain apple and whenever acquire pear,F(obtain_apple)&F(acquire_pear)
1554,"['have_pear', 'reach_house']",whenever have pear and reach house,F(have_pear)&reach_house
2266,"['grab_hold_pear', 'let_go_pear']",grab hold pear and do not let go pear,grab_hold_pear&~(let_go_pear)
1456,"['track_towards_tree', 'have_pear']",at some time track towards tree or whenever have pear,F(track_towards_tree)|F(have_pear)
2490,"['go_to_waste_basket', 'get_to_cup']",repeatedly go to waste basket or whenever get to cup,G(F(go_to_waste_basket))|F(get_to_cup)
2866,"['procure_apple', 'procure_orange']",procure apple or whenever procure orange,procure_apple|F(procure_orange)
1318,"['arrive_at_tree', 'walk_to_flag']",when possible arrive at tree until at any time walk to flag,F(arrive_at_tree)UF(walk_to_flag)
5465,"['drop_by', 'going_to_flag']",drop by or whenever going to flag,drop_by|F(going_to_flag)
5924,"['go_to', 'pear_bin', 'get_pear']",at some time go to pear bin until when possible get pear,F(go_topear_bin)UF(get_pear)
3787,"['travel_by_tree', 'visit_house']",whenever travel by tree and when possible visit house,F(travel_by_tree)&F(visit_house)
2599,"['go_to_trash_bin', 'grab_apple']","when when possible go to trash bin , at any time grab apple",F(go_to_trash_bin)->F(grab_apple)
4503,"['seize_apple', 'put_in_apple_bucket']",seize apple or put in apple bucket,seize_apple|put_in_apple_bucket
1092,"['reach_flag', 'go_by_waste_bin']",whenever reach flag or go by waste bin,F(reach_flag)|go_by_waste_bin
4083,"['travel_to_trash_can', 'go_near_flag']",at some time travel to trash can and at any time go near flag,F(travel_to_trash_can)&F(go_near_flag)
1827,"['let_go', 'go_to_trash_bin']",never let go and when possible go to trash bin,G(~(let_go))&F(go_to_trash_bin)
1272,"['present_at_flag', 'withhold_apple']",at any time present at flag until whenever withhold apple,F(present_at_flag)UF(withhold_apple)
1814,"['reach_flag', 'venture_towards_house']",at any time reach flag or venture towards house,F(reach_flag)|venture_towards_house
1078,"['let_go_orange', 'grasp_pear']",never let go orange or at some time grasp pear,G(~(let_go_orange))|F(grasp_pear)
3131,"['go_to_apple', 'get_close_flag']",when possible go to apple or at some time get close flag,F(go_to_apple)|F(get_close_flag)
5147,"['have_apple', 'travel_to_waste_bin']",forever have apple or travel to waste bin,G(have_apple)|travel_to_waste_bin
1910,"['reach_flag', 'venture_to_house']",whenever reach flag or whenever venture to house,F(reach_flag)|F(venture_to_house)
